caso,tipo_adyacencia,modelo,fraccion_datos,porcentaje_datos,max_epochs,best_epoch,epochs_ejecutadas,batch_size,hidden_channels,lstm_hidden,best_val_loss,test_loss,test_mae,test_rmse,tiempo_segundos,modelo_guardado,curva_guardada,pred_vs_real_dir
sensores_tal_cual,cercania,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.008075328602646866,0.00840803187416181,0.04380024969577789,0.09169531613588333,6423.166037559509,results\experimentos_epocas_datos\run_20260504_171233\modelos\sensores_tal_cual_cercania_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260504_171233\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260504_171233\graficas\pred_vs_real
sensores_tal_cual,cercania,GCN_GRU,1.0,100,25,25,25,32,32,64,0.008110184998211555,0.00844664726843616,0.04407524690032005,0.09190564602613449,6212.178602933884,results\experimentos_epocas_datos\run_20260504_171233\modelos\sensores_tal_cual_cercania_GCN_GRU_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260504_171233\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GCN_GRU_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260504_171233\graficas\pred_vs_real
sensores_tal_cual,cercania,GAT_LSTM,1.0,100,25,25,25,32,32,64,0.009545641034656535,0.009880139444099054,0.04800020158290863,0.0993988960981369,8530.927213907242,results\experimentos_epocas_datos\run_20260504_171233\modelos\sensores_tal_cual_cercania_GAT_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260504_171233\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GAT_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260504_171233\graficas\pred_vs_real
sensores_tal_cual,correlacion,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.00404024597375105,0.004148750123935783,0.02496214210987091,0.06441079080104828,6610.330147027969,results\experimentos_epocas_datos\run_20260504_171233\modelos\sensores_tal_cual_correlacion_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260504_171233\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260504_171233\graficas\pred_vs_real
sensores_tal_cual,correlacion,GCN_GRU,1.0,100,25,25,25,32,32,64,0.004033613486455135,0.004134496724397012,0.024843482300639153,0.0643000528216362,6296.8363716602325,results\experimentos_epocas_datos\run_20260504_171233\modelos\sensores_tal_cual_correlacion_GCN_GRU_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260504_171233\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GCN_GRU_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260504_171233\graficas\pred_vs_real
sensores_tal_cual,correlacion,GAT_LSTM,1.0,100,25,23,25,32,32,64,0.0052610048687854955,0.005500425465833858,0.02992928959429264,0.07416485249996185,8597.926707029343,results\experimentos_epocas_datos\run_20260504_171233\modelos\sensores_tal_cual_correlacion_GAT_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260504_171233\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GAT_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260504_171233\graficas\pred_vs_real
proximidad_50,cercania,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.009042722793216091,0.010212473573402815,0.05803562328219414,0.1010567918419838,455.81212639808655,results\experimentos_epocas_datos\run_20260504_171233\modelos\proximidad_50_cercania_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260504_171233\graficas\curvas_entrenamiento\proximidad_50_cercania_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260504_171233\graficas\pred_vs_real
proximidad_50,cercania,GCN_GRU,1.0,100,25,24,25,32,32,64,0.008758984323229397,0.00991786487661218,0.05947084724903107,0.09958847612142563,460.9991190433502,results\experimentos_epocas_datos\run_20260504_171233\modelos\proximidad_50_cercania_GCN_GRU_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260504_171233\graficas\curvas_entrenamiento\proximidad_50_cercania_GCN_GRU_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260504_171233\graficas\pred_vs_real
proximidad_50,cercania,GAT_LSTM,1.0,100,25,19,25,32,32,64,0.01055042285884207,0.01195247027535269,0.06408455967903137,0.10932735353708267,747.1096827983856,results\experimentos_epocas_datos\run_20260504_171233\modelos\proximidad_50_cercania_GAT_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260504_171233\graficas\curvas_entrenamiento\proximidad_50_cercania_GAT_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260504_171233\graficas\pred_vs_real
proximidad_50,correlacion,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.004531454061563747,0.004302050661859071,0.030610164627432823,0.0655900239944458,453.0889494419098,results\experimentos_epocas_datos\run_20260504_171233\modelos\proximidad_50_correlacion_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260504_171233\graficas\curvas_entrenamiento\proximidad_50_correlacion_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260504_171233\graficas\pred_vs_real
