caso,tipo_adyacencia,modelo,fraccion_datos,porcentaje_datos,max_epochs,best_epoch,epochs_ejecutadas,batch_size,hidden_channels,lstm_hidden,best_val_loss,test_loss,test_mae,test_rmse,tiempo_segundos,modelo_guardado,curva_guardada,pred_vs_real_dir
proximidad_50,cercania,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.008432718925178051,0.010691124722821478,0.059183843433856964,0.10339789092540741,1029.8485610485077,results\experimentos_epocas_datos\run_20260518_131858\modelos\proximidad_50_cercania_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260518_131858\graficas\curvas_entrenamiento\proximidad_50_cercania_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260518_131858\graficas\pred_vs_real
proximidad_50,cercania,GCN_GRU,1.0,100,25,23,25,32,32,64,0.008621646337395096,0.00992282582791867,0.06110121309757233,0.09961338341236115,1021.9784200191498,results\experimentos_epocas_datos\run_20260518_131858\modelos\proximidad_50_cercania_GCN_GRU_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260518_131858\graficas\curvas_entrenamiento\proximidad_50_cercania_GCN_GRU_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260518_131858\graficas\pred_vs_real
proximidad_50,cercania,GAT_LSTM,1.0,100,25,17,25,32,32,64,0.00933166114774383,0.0111344794202366,0.059439219534397125,0.10552004724740982,1548.7866373062134,results\experimentos_epocas_datos\run_20260518_131858\modelos\proximidad_50_cercania_GAT_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260518_131858\graficas\curvas_entrenamiento\proximidad_50_cercania_GAT_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260518_131858\graficas\pred_vs_real
proximidad_50,correlacion,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.00558453637899624,0.006288539686090784,0.03647150471806526,0.07930030673742294,993.0544707775116,results\experimentos_epocas_datos\run_20260518_131858\modelos\proximidad_50_correlacion_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260518_131858\graficas\curvas_entrenamiento\proximidad_50_correlacion_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260518_131858\graficas\pred_vs_real
proximidad_50,correlacion,GCN_GRU,1.0,100,25,25,25,32,32,64,0.005770221354876771,0.005999921960181292,0.03937521576881409,0.07745916396379471,1008.8987526893616,results\experimentos_epocas_datos\run_20260518_131858\modelos\proximidad_50_correlacion_GCN_GRU_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260518_131858\graficas\curvas_entrenamiento\proximidad_50_correlacion_GCN_GRU_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260518_131858\graficas\pred_vs_real
proximidad_50,correlacion,GAT_LSTM,1.0,100,25,25,25,32,32,64,0.006733240503357885,0.008365657718645201,0.045831333845853806,0.09146396815776825,1536.3627500534058,results\experimentos_epocas_datos\run_20260518_131858\modelos\proximidad_50_correlacion_GAT_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260518_131858\graficas\curvas_entrenamiento\proximidad_50_correlacion_GAT_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260518_131858\graficas\pred_vs_real
proximidad_500,cercania,GCN_LSTM,1.0,100,25,24,25,32,32,64,0.003989571359376481,0.004216083110436613,0.036180976778268814,0.06493137031793594,2483.260978937149,results\experimentos_epocas_datos\run_20260518_131858\modelos\proximidad_500_cercania_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260518_131858\graficas\curvas_entrenamiento\proximidad_500_cercania_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260518_131858\graficas\pred_vs_real
proximidad_500,cercania,GCN_GRU,1.0,100,25,24,25,32,32,64,0.00412161025437124,0.0044529780400571995,0.033752813935279846,0.06673064082860947,2467.453047990799,results\experimentos_epocas_datos\run_20260518_131858\modelos\proximidad_500_cercania_GCN_GRU_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260518_131858\graficas\curvas_entrenamiento\proximidad_500_cercania_GCN_GRU_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260518_131858\graficas\pred_vs_real
proximidad_500,cercania,GAT_LSTM,1.0,100,25,24,25,32,32,64,0.00414565389998901,0.004338661735348495,0.03744545951485634,0.06586851924657822,3550.446788787842,results\experimentos_epocas_datos\run_20260518_131858\modelos\proximidad_500_cercania_GAT_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260518_131858\graficas\curvas_entrenamiento\proximidad_500_cercania_GAT_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260518_131858\graficas\pred_vs_real
proximidad_500,correlacion,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.0022746221484317456,0.002502647071018999,0.022141942754387856,0.050026461482048035,2519.2674560546875,results\experimentos_epocas_datos\run_20260518_131858\modelos\proximidad_500_correlacion_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_epocas_datos\run_20260518_131858\graficas\curvas_entrenamiento\proximidad_500_correlacion_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_epocas_datos\run_20260518_131858\graficas\pred_vs_real
