caso,tipo_adyacencia,modelo,fraccion_datos,porcentaje_datos,max_epochs,best_epoch,epochs_ejecutadas,batch_size,hidden_channels,lstm_hidden,best_val_loss,test_loss,test_mae,test_rmse,target,test_mape,tiempo_segundos,modelo_guardado,curva_guardada,pred_vs_real_dir
sensores_tal_cual,cercania,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.008690718982749554,0.00844995750466714,0.047047290951013565,0.09192364662885666,descongestion,6.75663,18302.457221269608,results\experimentos_descongestion_mape\run_20260515_163852\modelos\sensores_tal_cual_cercania_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_descongestion_mape\run_20260515_163852\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_descongestion_mape\run_20260515_163852\graficas\pred_vs_real
sensores_tal_cual,cercania,GCN_GRU,1.0,100,25,25,25,32,32,64,0.008660818727032558,0.008437065193134105,0.046221211552619934,0.09185349941253662,descongestion,6.6579795,12025.211246728897,results\experimentos_descongestion_mape\run_20260515_163852\modelos\sensores_tal_cual_cercania_GCN_GRU_datos_100_epochs_25.pt,results\experimentos_descongestion_mape\run_20260515_163852\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GCN_GRU_datos_100_epochs_25.png,results\experimentos_descongestion_mape\run_20260515_163852\graficas\pred_vs_real
sensores_tal_cual,cercania,GAT_LSTM,1.0,100,25,12,25,32,32,64,0.00941254728343491,0.009285953915847595,0.04717829450964928,0.09636364877223969,descongestion,7.000036,16624.761692285538,results\experimentos_descongestion_mape\run_20260515_163852\modelos\sensores_tal_cual_cercania_GAT_LSTM_datos_100_epochs_25.pt,results\experimentos_descongestion_mape\run_20260515_163852\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GAT_LSTM_datos_100_epochs_25.png,results\experimentos_descongestion_mape\run_20260515_163852\graficas\pred_vs_real
sensores_tal_cual,correlacion,GCN_LSTM,1.0,100,25,23,25,32,32,64,0.004841352161786111,0.004882939661646176,0.02940273843705654,0.06987803429365158,descongestion,4.3414474,12848.894223690033,results\experimentos_descongestion_mape\run_20260515_163852\modelos\sensores_tal_cual_correlacion_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_descongestion_mape\run_20260515_163852\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_descongestion_mape\run_20260515_163852\graficas\pred_vs_real
sensores_tal_cual,correlacion,GCN_GRU,1.0,100,25,25,25,32,32,64,0.0049719885112028284,0.004974434251287464,0.0331806018948555,0.07052966207265854,descongestion,4.6798196,12188.072189331055,results\experimentos_descongestion_mape\run_20260515_163852\modelos\sensores_tal_cual_correlacion_GCN_GRU_datos_100_epochs_25.pt,results\experimentos_descongestion_mape\run_20260515_163852\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GCN_GRU_datos_100_epochs_25.png,results\experimentos_descongestion_mape\run_20260515_163852\graficas\pred_vs_real
sensores_tal_cual,correlacion,GAT_LSTM,1.0,100,25,23,25,32,32,64,0.005376024938874673,0.005289532566502182,0.030921626836061478,0.07272917032241821,descongestion,4.5693398,16674.14277935028,results\experimentos_descongestion_mape\run_20260515_163852\modelos\sensores_tal_cual_correlacion_GAT_LSTM_datos_100_epochs_25.pt,results\experimentos_descongestion_mape\run_20260515_163852\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GAT_LSTM_datos_100_epochs_25.png,results\experimentos_descongestion_mape\run_20260515_163852\graficas\pred_vs_real
proximidad_50,cercania,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.010242993713024956,0.010871866097417688,0.06325096637010574,0.10426824539899826,descongestion,8.807547,898.7494130134583,results\experimentos_descongestion_mape\run_20260515_163852\modelos\proximidad_50_cercania_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_descongestion_mape\run_20260515_163852\graficas\curvas_entrenamiento\proximidad_50_cercania_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_descongestion_mape\run_20260515_163852\graficas\pred_vs_real
proximidad_50,cercania,GCN_GRU,1.0,100,25,25,25,32,32,64,0.009370359855339579,0.009797566894279875,0.0622979961335659,0.09898265451192856,descongestion,8.523899,924.8469235897064,results\experimentos_descongestion_mape\run_20260515_163852\modelos\proximidad_50_cercania_GCN_GRU_datos_100_epochs_25.pt,results\experimentos_descongestion_mape\run_20260515_163852\graficas\curvas_entrenamiento\proximidad_50_cercania_GCN_GRU_datos_100_epochs_25.png,results\experimentos_descongestion_mape\run_20260515_163852\graficas\pred_vs_real
proximidad_50,cercania,GAT_LSTM,1.0,100,25,25,25,32,32,64,0.010426381611638428,0.010951047479782415,0.06286156177520752,0.10464724898338318,descongestion,8.822479,1438.6801311969757,results\experimentos_descongestion_mape\run_20260515_163852\modelos\proximidad_50_cercania_GAT_LSTM_datos_100_epochs_25.pt,results\experimentos_descongestion_mape\run_20260515_163852\graficas\curvas_entrenamiento\proximidad_50_cercania_GAT_LSTM_datos_100_epochs_25.png,results\experimentos_descongestion_mape\run_20260515_163852\graficas\pred_vs_real
proximidad_50,correlacion,GCN_LSTM,1.0,100,25,18,25,32,32,64,0.00613764595332283,0.0059581943344408,0.044516172260046005,0.07718934118747711,descongestion,6.086372,891.398188829422,results\experimentos_descongestion_mape\run_20260515_163852\modelos\proximidad_50_correlacion_GCN_LSTM_datos_100_epochs_25.pt,results\experimentos_descongestion_mape\run_20260515_163852\graficas\curvas_entrenamiento\proximidad_50_correlacion_GCN_LSTM_datos_100_epochs_25.png,results\experimentos_descongestion_mape\run_20260515_163852\graficas\pred_vs_real
